CentreCode,CityCode,CentreName
3029,315,GSS Techno
3030,315,Succexa Edutech
3031,315,CLM Resources & Management
3032,315,Uniconcept Technology Pvt.Ltd
3033,315,Novtec Digital Pvt. Ltd
3034,315,iON Digital Zone iDZ Sandalpur
3035,315,IMPACT College
3036,315,Maa Ambey Computers Centre Patna
3037,315,iON Digital Zone iDZ Jalalpur
3038,316,iON Digital Zone iDZ Purnea
3039,317,Narayanam Info Online
3040,318,Indian Institute of Information Technology Manipur
3041,318,Central Institute of Plastics Engineering & Technology (CIPET) - Imphal
3042,319,iDZ Qualapatty
3043,320,iON Digital Zone (iDZ) Mualpui
3044,321,iON Digital Zone iDZ Siliguri A
3045,321,iON Digital Zone iDZ Siliguri B
3046,322,Techie Panda
3047,323,ICFAI University Tripura
3048,323,Scamper Technologies and Services Pvt. Ltd
3049,351,Tata Consultancy Services Asia Pacific Pte Ltd
4001,401,iON Digital Zone iDZ- A Village Adampur Raisen Road
4002,401,iON Digital Zone iDZ- B Village Adampur Raisen Road
4003,401,iON Digital Zone iDZ- C Village Adampur Raisen Road
4004,401,iON Digital Zone iDZ SAM College of Engineering and Technology Raisen road
4005,401,iON Digital Zone iDZ- A Trinity 2 Headway 2 Kokta Bypass Road
4006,401,iON Digital Zone iDZ- B Trinity 2 Headway 2 Kokta Bypass Road
4007,401,iON Digital Zone iDZ Kalkheda Ratibad Main road
4008,401,iON Digital Zone iDZ Trinity 1Shri Jairam Education Society Kokta Bypass Road
4009,402,Oriental University Indore
4010,402,SAGAR INSTITUTE OF RESEARCH AND TECHNOLOGY
4011,402,iON Digital Zone iDZ AB Road Rajendra Nagar - CENTER A
4012,402,iON Digital Zone iDZ Headway IT Services Mangal Compound Dewas Naka
4013,402,iON Digital Zone iDZ Plexus IT System Mangal Compound Dewas Naka- CENTER A
4014,402,iON Digital Zone iDZ Plexus IT System Mangal Compound Dewas Naka- CENTER B
4015,402,iON Digital Zone iDZ AB Road Rajendra Nagar- CENTER B
4016,403,iON Digital Zone iDZ- A Gram Raigawan Near Patan Bypass
4017,403,iON Digital Zone iDZ- B Gram Raigawan Near Patan Bypass
4018,403,iON Digital Zone iDZ- C Gram Raigawan Near Patan Bypass
4019,403,Gyan Ganga Institute of Technology and Sciences CENTER 1
4020,404,Shambhunath Institute of Engineering and Technology - MAC
4021,404,Shambhunath Institute of Management
4022,404,UNITED INSTITUTE OF TECHNOLOGY - MAC
4023,404,iON Digital Zone iDZ 2 Naini
4024,404,Madhu Vachaspati Inter College
4025,404,iON Digital Zone iDZ 1 Naini
4026,404,iON Digital Zone iDZ Sallahapur
4027,405,INSTITUTE FOR ADVANCED COMPUTER TECHNOLOGY
4028,405,SMB Institute of Technology
4029,406,Indra Online Center
4030,406,Suryoday Online
4031,406,iON Digital Zone iDZ Nausarh Chowk
4032,406,KIPM College of Engineering & Technology - MAC CENTER
4033,407,iON Digital Zone iDZ Elite Cinema
4034,407,Gyansthali Mahavidyalaya
4035,408,Pranveer Singh Institute of Technology- MAC
4036,408,Pranveer Singh Institute of Technology
4037,408,iON Digital Zone iDZ Keshaw Puram
4038,408,iON Digital Zone iDZ 1 Hathipur
